patients_per_clinic_block,num_med_techs,num_rooms,num_rooms_per_provider,num_physicians,vitals_time_mean,vitals_time_cv2,exam_time_mean,exam_time_cv2,post_exam_time_mean,post_exam_time_cv2,room_turnover_time_mean,room_turnover_time_cv2,off_util_staff,off_util_physician,off_util_room,staff_eff_ia_time_mean,staff_eff_svc_time_mean,staff_eff_svc_time_cv2,exam_eff_ia_time_mean,exam_eff_svc_time_mean,exam_eff_svc_time_cv2,mean_wait_i_dm1,mean_wait_p_dm1,mean_wait_r_dm1,mean_wait_rp_dm1,mean_wait_i,mean_wait_r,mean_wait_p,mean_wait_rp,mean_time_in_system,mean_eod
32,2,2,1,2,12,0.2,20,1.0,2,0.5,2.5,0.14285714285714285,1.1,1.3333333333333333,1.6333333333333333,15.0,16.5,0.45870431169349624,15.0,114.48670751457223,1.9867117138159192,33.40577013782637,56.58093737674586,361.64235162228664,418.2232889990325,3.130599490386763,88.00342949863509,0.0,88.00342949863509,128.38295436901242,440.5795497485291
32,2,2,1,2,6,0.2,10,1.0,5,0.5,2.5,0.14285714285714285,0.9,0.6666666666666666,1.1666666666666667,15.0,13.5,0.3867185757126474,15.0,40.6511355351061,0.9828121619581426,17.472756775305577,5.678378759800523,58.9053320905823,64.58371085038283,1.1933074675233442,21.09018078096265,0.0,21.09018078096265,44.49512040509679,293.8316202336445
36,2,2,1,2,6,0.2,10,1.0,5,0.5,2.5,0.14285714285714285,1.0125,0.75,1.3125,13.333333333333334,13.5,0.3867185757126474,13.333333333333334,50.45675898305457,1.016279065024163,24.69072103588121,8.266037947173363,119.60459824229646,127.87063618946982,1.5436060609236266,35.849585896184514,0.0,35.849585896184514,59.52605752012381,321.7443397876248
40,2,2,1,2,6,0.2,10,1.0,5,0.5,2.5,0.14285714285714285,1.125,0.8333333333333334,1.4583333333333333,12.0,13.5,0.3867185757126474,12.0,62.4609944563863,1.0052138976173852,33.329651446328484,11.631343010057819,205.47209858918637,217.1034415992442,1.6356220700280757,53.338950470742105,0.0,53.338950470742105,77.32610389767008,361.48995393866267
44,2,2,1,2,6,0.2,10,1.0,5,0.5,2.5,0.14285714285714285,1.2375,0.9166666666666666,1.6041666666666667,10.909090909090908,13.5,0.3867185757126474,10.909090909090908,76.5857228535586,0.9699008216094407,43.209919150868004,15.875803702690591,317.0260295098038,332.90183321249435,2.2038434471957444,75.3963103998476,0.0,75.3963103998476,100.34932462477678,401.1407068973952
48,2,2,1,2,6,0.2,10,1.0,5,0.5,2.5,0.14285714285714285,1.35,1.0,1.75,10.0,13.5,0.3867185757126474,10.0,92.63820503220278,0.9295931415324241,54.09154170743805,21.046663324764726,455.34223463957784,476.38889796434256,2.9905665251253284,89.51800188826486,0.0,89.51800188826486,115.0367614484084,429.159155013437
24,2,2,1,2,6,0.2,15,1.0,5,0.5,2.5,0.14285714285714285,0.675,0.75,1.125,20.0,13.5,0.3867185757126474,20.0,40.787152924957155,1.530238086196859,7.412617355561313,10.874535569395848,29.602181096384772,40.47671666578062,0.7512587833344475,16.899876025101104,0.0,16.899876025101104,44.52360469004171,291.57716424052484
28,2,2,1,2,6,0.2,15,1.0,5,0.5,2.5,0.14285714285714285,0.7875,0.875,1.3125,17.142857142857142,13.5,0.3867185757126474,17.142857142857142,51.23216987287732,1.4679657832189108,11.739019742706434,16.99315013017089,75.97713164279139,92.97028177296228,0.8777643083785225,31.37284690827245,0.0,31.37284690827245,58.99221139688904,326.5061753093848
32,2,2,1,2,6,0.2,15,1.0,5,0.5,2.5,0.14285714285714285,0.9,1.0,1.5,15.0,13.5,0.3867185757126474,15.0,64.83618705974746,1.5639083945758554,17.472756775305577,24.86343028444189,153.9023883587368,178.7658186431787,0.959213634752821,50.11265351610388,0.0,50.11265351610388,77.85979583453619,366.9856963703635
36,2,2,1,2,6,0.2,15,1.0,5,0.5,2.5,0.14285714285714285,1.0125,1.125,1.6875,13.333333333333334,13.5,0.3867185757126474,13.333333333333334,81.60907329556895,1.6492692348244669,24.69072103588121,34.41835225968773,264.07464356620073,298.49299582588844,1.1428242252801817,72.51071483354147,0.0,72.51071483354147,100.32428273253184,403.5487544004382
